year,month,day,hour,u_wind,v_wind,wind_speed
2024,1,1,0,-2.5948563,1.2157307,2.865533122558021
2024,1,1,1,-2.618806,1.2620258,2.907035168078871
2024,1,1,2,-2.6502953,1.268445,2.9381997393387005
2024,1,1,3,-2.7176256,1.3423243,3.0310597833365787
2024,1,1,4,-2.848381,1.3828878,3.1663312116598767
2024,1,1,5,-2.8201132,1.6069613,3.2458223641560155
2024,1,1,6,-2.2240992,1.7738683,2.8448595563316816
2024,1,1,7,-1.5773172,2.2355843,2.736012910800755
2024,1,1,8,-1.1205473,2.6904254,2.914449356350069
2024,1,1,9,-0.6476288,2.833173,2.9062505909290524
2024,1,1,10,-0.20417976,2.7959719,2.8034172140685873
2024,1,1,11,-0.33645058,2.35846,2.3823375755718463
2024,1,1,12,-1.4828863,2.2298107,2.67787371713062
2024,1,1,13,-2.4589643,2.294016,3.362887827719184
2024,1,1,14,-2.5908356,2.3231983,3.4798964617430412
2024,1,1,15,-2.3626165,2.324007,3.3140557638409334
2024,1,1,16,-2.0849085,2.260394,3.0750975372287295
2024,1,1,17,-1.9345322,2.1839876,2.917570326970928
2024,1,1,18,-1.8406401,2.0802088,2.777629280840297
2024,1,1,19,-1.7463636,1.9077053,2.586334375309527
2024,1,1,20,-1.5691967,1.7923613,2.3822126628410483
2024,1,1,21,-1.4429674,1.5964069,2.151899176937892
2024,1,1,22,-1.3617821,1.2368317,1.839620337091838
2024,1,1,23,-1.2044878,0.9406452,1.5282683951909242
2024,1,2,0,-1.1817493,0.8101311,1.432774883636308
2024,1,2,1,-1.1964359,0.731637,1.4024092241287482
2024,1,2,2,-1.363328,0.7957964,1.578592753822706
2024,1,2,3,-1.5059481,0.8751364,1.7417644086465365
2024,1,2,4,-1.5009556,0.8725958,1.736171381432705
2024,1,2,5,-1.004055,0.7616611,1.2602595524743474
2024,1,2,6,0.76994574,0.46574628,0.8998533459652351
2024,1,2,7,1.2313659,0.46257806,1.3153860599539104
2024,1,2,8,1.4467251,0.27501053,1.4726317908826854
2024,1,2,9,1.526303,-0.036615312,1.5267421820264162
2024,1,2,10,1.6033316,-0.4699688,1.6707910638606898
2024,1,2,11,1.1162195,-0.9804287,1.4856602725418777
2024,1,2,12,0.722558,-1.4105654,1.5848611217593986
2024,1,2,13,-1.0203848,-0.8656721,1.338123059093373
2024,1,2,14,-1.593049,0.17226696,1.6023361630068889
2024,1,2,15,-1.1560106,0.39981174,1.2231966328661397
2024,1,2,16,-1.2844057,0.54366684,1.3947299581020036
2024,1,2,17,-1.2597094,0.6207409,1.4043457267772967
2024,1,2,18,-1.292757,0.67811584,1.4598156899437325
2024,1,2,19,-1.3898687,0.7147589,1.56288686428822
2024,1,2,20,-1.434392,0.7230911,1.6063440213291635
2024,1,2,21,-1.456665,0.7477703,1.6373861706143955
2024,1,2,22,-1.7160196,0.86010456,1.9195059853063547
2024,1,2,23,-1.5932426,0.79647255,1.7812329013062298
2024,1,3,0,-1.5699759,0.7711439,1.7491389635672694
2024,1,3,1,-1.4297295,0.7471342,1.6131757062842405
2024,1,3,2,-1.4023542,0.71750546,1.5752496607192683
2024,1,3,3,-1.4006376,0.71349716,1.5718982031835727
2024,1,3,4,-1.5505877,0.7081089,1.7046232106098635
2024,1,3,5,-1.7029762,0.7325212,1.8538379926122124
2024,1,3,6,-0.95684814,0.42148173,1.0455645456869564
2024,1,3,7,-0.888793,0.22379124,0.9165345066185598
2024,1,3,8,-0.90624046,0.23813534,0.9370059852355146
2024,1,3,9,-0.8069849,0.25219536,0.845474499833829
2024,1,3,10,-0.86856174,0.28717804,0.9148063897563599
2024,1,3,11,-0.38309097,-0.22471046,0.444132284757007
2024,1,3,12,-0.46123123,-0.37038422,0.5915392774586495
2024,1,3,13,-1.5417109,0.48112774,1.6150406364007535
2024,1,3,14,-1.7989845,0.9412041,2.030322741303008
2024,1,3,15,-2.30659,1.2629471,2.629713507514479
2024,1,3,16,-2.6962156,1.4405527,3.0569217909116926
2024,1,3,17,-2.9755287,1.5944557,3.375805116674965
2024,1,3,18,-3.1425056,1.7764368,3.6098572628731027
2024,1,3,19,-3.2820024,1.9981928,3.8424360098999464
2024,1,3,20,-3.2634563,2.1490135,3.9074808277479853
2024,1,3,21,-3.1521482,2.2036314,3.846040811188962
2024,1,3,22,-3.167223,2.417923,3.984677263023947
2024,1,3,23,-3.1078625,2.358676,3.901558844490741
2024,1,4,0,-3.1194935,2.1821232,3.8069543195132667
2024,1,4,1,-3.1669788,2.1508265,3.8282906608530762
2024,1,4,2,-3.2632866,2.2390862,3.9575934814461777
2024,1,4,3,-3.2681952,2.337699,4.018200576245751
2024,1,4,4,-3.332079,2.3853254,4.097868645554397
2024,1,4,5,-3.270834,2.9587193,4.410484607703901
2024,1,4,6,-2.676981,3.331388,4.273683786896704
2024,1,4,7,-1.5344,4.156907,4.4310562852378625
2024,1,4,8,0.5028467,5.0125966,5.037755409726893
2024,1,4,9,1.1149466,4.678383,4.809404561965704
2024,1,4,10,0.6852274,3.8084955,3.8696478805263417
2024,1,4,11,0.18604249,3.2345827,3.239928519007627
2024,1,4,12,-0.60008967,2.6246157,2.692343778641368
2024,1,4,13,-1.079071,2.1493196,2.404988414204968
2024,1,4,14,-1.3153515,1.7463932,2.186329973795699
2024,1,4,15,-1.4437666,1.5775719,2.138502976217416
2024,1,4,16,-1.5941038,1.4050121,2.124906128441098
2024,1,4,17,-1.7850285,1.3897591,2.262245974642059
2024,1,4,18,-1.8357248,1.3483801,2.2777213432882952
2024,1,4,19,-1.7989168,1.2788887,2.2071832788770718
2024,1,4,20,-1.8123274,1.1735096,2.159086688003272
2024,1,4,21,-1.9421234,1.1124458,2.238164220791386
2024,1,4,22,-1.8171625,1.0496473,2.0985326114432272
2024,1,4,23,-1.8400698,0.9591675,2.0750563888840547
2024,1,5,0,-1.9468861,0.9698858,2.175096286724515
2024,1,5,1,-1.976223,1.0988569,2.261181960308678
2024,1,5,2,-1.8837156,1.0312262,2.1475129714047285
2024,1,5,3,-2.028493,1.0528183,2.2854342971183232
2024,1,5,4,-2.574376,1.32411,2.894940363984614
2024,1,5,5,-2.1007853,1.2174072,2.4280401653859918
2024,1,5,6,-1.4820995,1.8292283,2.354292915831743
2024,1,5,7,-0.9789705,2.606254,2.7840516755153346
2024,1,5,8,-0.44003487,3.1424675,3.173126638581089
2024,1,5,9,0.15689754,3.7882144,3.7914621878313333
2024,1,5,10,0.2895441,3.295682,3.3083765395148697
2024,1,5,11,0.06978035,2.30434,2.30539619286801
2024,1,5,12,-0.51487637,2.001852,2.0670048969565458
2024,1,5,13,-1.408184,1.4790144,2.0421718606638204
2024,1,5,14,-1.9508867,1.4840393,2.4511898504231975
2024,1,5,15,-2.3334255,1.7653275,2.925962351860398
2024,1,5,16,-2.6106844,1.9235258,3.2427803737084044
2024,1,5,17,-2.8071108,2.051858,3.477066580805092
2024,1,5,18,-2.940055,2.123372,3.6266557264426478
2024,1,5,19,-3.046915,2.1449385,3.7261846953363436
2024,1,5,20,-3.1224232,2.1409168,3.7859016513599277
2024,1,5,21,-3.1369944,2.1572409,3.807154027269987
2024,1,5,22,-3.304307,2.2023773,3.971008751046924
2024,1,5,23,-3.3833475,2.1153097,3.990184904698312
2024,1,6,0,-3.3453312,2.128996,3.96533281161223
2024,1,6,1,-3.223504,2.1565256,3.878347738562711
2024,1,6,2,-3.1437101,2.1885567,3.8304952322894406
2024,1,6,3,-3.132595,2.2006006,3.8282887731714754
2024,1,6,4,-3.1239061,2.2222424,3.8336862977662163
2024,1,6,5,-3.0440483,2.451582,3.908514320221646
2024,1,6,6,-2.6303701,2.554553,3.666686278740045
2024,1,6,7,-2.5119295,3.0724478,3.9685923467277178
2024,1,6,8,-2.292472,3.1826735,3.92235103773831
2024,1,6,9,-2.127575,3.1480703,3.799594962564853
2024,1,6,10,-2.161951,3.1146193,3.79142262373327
2024,1,6,11,-2.0862713,2.143238,2.990986006881047
2024,1,6,12,-2.3403301,1.948513,3.0452993483136974
2024,1,6,13,-2.7054129,2.0615368,3.4013515990791414
2024,1,6,14,-2.9199934,2.1935272,3.652112146641166
2024,1,6,15,-2.8658133,2.2908154,3.668885470773716
2024,1,6,16,-2.8974771,2.382019,3.750918361631677
2024,1,6,17,-2.9214087,2.439021,3.8057131390807624
2024,1,6,18,-2.898734,2.306426,3.7043569558605167
2024,1,6,19,-2.967534,2.2557487,3.7275542713712793
2024,1,6,20,-2.722024,2.27841,3.549727651016684
2024,1,6,21,-2.1747217,2.5144472,3.32443368606715
2024,1,6,22,-1.6931677,2.4290304,2.960912965281734
2024,1,6,23,-2.1760845,1.9625864,2.930373563248014
2024,1,7,0,-2.376484,1.9863968,3.097329174372749
2024,1,7,1,-1.9438562,2.0446882,2.821227926939587
2024,1,7,2,-1.4023027,2.0717564,2.501724886455742
2024,1,7,3,-0.39451504,2.561615,2.591816635689334
2024,1,7,4,0.24959409,3.1923695,3.202111801116775
2024,1,7,5,-0.23289776,2.965448,2.974579403783454
2024,1,7,6,-0.4401077,2.8103523,2.8446045390399655
2024,1,7,7,0.38967544,3.1142006,3.138485665852885
2024,1,7,8,1.9159503,2.8356645,3.4222593068012523
