year,month,day,hour,u_wind,v_wind,wind_speed
2022,1,1,0,-1.179636,0.19368267,1.1954304969876333
2022,1,1,1,-1.1303864,0.44031525,1.2131161619478823
2022,1,1,2,-1.2316332,0.617424,1.377727373372091
2022,1,1,3,-1.4054632,0.9461174,1.6942446682210257
2022,1,1,4,-1.4570532,1.2996387,1.9524509874080755
2022,1,1,5,-0.9966316,1.445262,1.7555787393115279
2022,1,1,6,-0.7108011,1.7034268,1.8457793017703699
2022,1,1,7,-0.7361393,1.9524744,2.086637768027577
2022,1,1,8,-0.8520918,2.1700258,2.3313241946668106
2022,1,1,9,-0.93965816,2.6570988,2.8183561416715746
2022,1,1,10,-0.65494347,2.3909926,2.479071752766257
2022,1,1,11,-1.0155087,2.1981082,2.421350339005981
2022,1,1,12,-0.8270397,1.6963035,1.8871778441894518
2022,1,1,13,-1.1971617,1.5990427,1.9975318481370175
2022,1,1,14,-1.3627472,1.3999045,1.9536664224267366
2022,1,1,15,-1.8096094,1.4447967,2.3156259798910686
2022,1,1,16,-2.1333275,1.5837122,2.6569212541837657
2022,1,1,17,-2.367711,1.7279484,2.931187722545935
2022,1,1,18,-2.5623817,1.7473437,3.101452896306017
2022,1,1,19,-2.6711721,1.740617,3.1882453295216986
2022,1,1,20,-2.7346268,1.7413237,3.241973447228124
2022,1,1,21,-2.785017,1.7624521,3.2958393863498836
2022,1,1,22,-2.565218,1.7494476,3.1049814963298523
2022,1,1,23,-2.7660904,1.8682065,3.33788130301534
2022,1,2,0,-2.8772516,1.8534427,3.4225468062351414
2022,1,2,1,-3.0939808,1.9076636,3.634817391923565
2022,1,2,2,-3.348157,2.0925426,3.9482767831469925
2022,1,2,3,-3.4274178,2.1627667,4.05274625966867
2022,1,2,4,-3.6678877,2.3627315,4.363015015583197
2022,1,2,5,-3.7748814,2.5940473,4.5802631736680866
2022,1,2,6,-3.9034662,2.9996848,4.922921645762561
2022,1,2,7,-3.9375648,3.4528356,5.237030680655964
2022,1,2,8,-3.673894,3.608087,5.149348390920541
2022,1,2,9,-3.4060535,3.6360028,4.982139796046258
2022,1,2,10,-3.3443165,3.3062253,4.702720326437189
2022,1,2,11,-3.3030643,2.933033,4.417342707261238
2022,1,2,12,-3.467042,2.4441214,4.241946397952022
2022,1,2,13,-3.7862358,2.306824,4.433623622642871
2022,1,2,14,-4.0208187,2.376303,4.670524472401945
2022,1,2,15,-4.1934776,2.4755769,4.8696750934069915
2022,1,2,16,-4.2595673,2.6319098,5.007081254871778
2022,1,2,17,-4.4217443,2.747992,5.20608137775044
2022,1,2,18,-4.476964,2.7966726,5.27869152004909
2022,1,2,19,-4.1572742,2.642832,4.926204457192001
2022,1,2,20,-4.0199413,2.332188,4.6474755142169455
2022,1,2,21,-4.099189,2.2799435,4.690574705191419
2022,1,2,22,-3.8935518,2.3867145,4.5668535921038025
2022,1,2,23,-3.7775831,2.1273246,4.335394344126369
2022,1,3,0,-3.7447643,1.9821218,4.236987939832915
2022,1,3,1,-3.552681,1.9105792,4.033838738234636
2022,1,3,2,-3.3024893,1.8838866,3.802034202797401
2022,1,3,3,-3.0180073,1.7819111,3.504793178601239
2022,1,3,4,-2.6960506,1.6850874,3.1793409321923884
2022,1,3,5,-2.4052858,1.8026514,3.005819694939494
2022,1,3,6,-1.6829119,1.4655457,2.231595043159555
2022,1,3,7,-1.1403494,1.3573971,1.7728292524490719
2022,1,3,8,-1.1145716,0.4823988,1.2144868865591063
2022,1,3,9,-2.1475992,0.28163815,2.1659876398309073
2022,1,3,10,-1.032445,0.02178669,1.0326748000809884
2022,1,3,11,-1.0105314,-0.02142334,1.0107584881487601
2022,1,3,12,-0.7401514,-0.039463043,0.7412026946781949
2022,1,3,13,-0.37115383,0.7417002,0.8293818857426175
2022,1,3,14,-0.73899555,1.1070284,1.3310245028483807
2022,1,3,15,-0.6970339,1.1825405,1.3726829029177858
2022,1,3,16,-0.4169196,1.2506797,1.3183405228486242
2022,1,3,17,-0.31025034,1.1157411,1.158073206689384
2022,1,3,18,-0.25041616,1.0490551,1.0785290236076484
2022,1,3,19,-0.25181502,0.8927705,0.9276044533648635
2022,1,3,20,-0.0067660213,0.80804074,0.8080690647971261
2022,1,3,21,0.6136023,0.74360937,0.9640864339606097
2022,1,3,22,0.99721646,0.5476129,1.137682103457906
2022,1,3,23,1.0938988,0.3582011,1.151052798258563
2022,1,4,0,0.4602087,0.58123714,0.7413694559707916
2022,1,4,1,-0.3241368,0.4983511,0.5944900982873325
2022,1,4,2,-0.46817684,0.29973567,0.5559055892895646
2022,1,4,3,-0.24574196,0.3049116,0.3916123141507503
2022,1,4,4,-0.08384204,0.5095606,0.5164121196580971
2022,1,4,5,-0.1964814,0.41168022,0.45616394859315135
2022,1,4,6,0.38630968,0.20818615,0.43883555497832977
2022,1,4,7,1.4665484,-0.14368439,1.4735703370810567
2022,1,4,8,2.1845465,-0.6574516,2.2813342428739714
2022,1,4,9,2.367227,-1.316083,2.708475286808803
2022,1,4,10,1.506727,-1.5431232,2.156723334804102
2022,1,4,11,0.821897,-1.499012,1.7095471874517045
2022,1,4,12,0.49852896,-1.4706974,1.5528947074381156
2022,1,4,13,0.28837264,-1.014781,1.0549593601038547
2022,1,4,14,-0.22453219,-0.75875473,0.7912796241724501
2022,1,4,15,-0.47095215,-0.4527197,0.6532618517013671
2022,1,4,16,-0.89830893,-0.28541183,0.9425597350358977
2022,1,4,17,-1.3249083,0.25443935,1.3491187023602662
2022,1,4,18,-1.7487993,0.62650394,1.85763458949614
2022,1,4,19,-1.8424025,0.7875452,2.0036652081990756
2022,1,4,20,-1.8029919,0.8347435,1.9868508708729864
2022,1,4,21,-1.5475006,0.7711773,1.7290091250582185
2022,1,4,22,-1.1782026,0.7605009,1.4023277313476599
2022,1,4,23,-1.2450142,0.6117716,1.38720034797689
2022,1,5,0,-1.3528767,0.6839729,1.515946630705196
2022,1,5,1,-1.5656166,0.9896673,1.8521870099378042
2022,1,5,2,-1.7107849,1.1097844,2.039217092816351
2022,1,5,3,-1.6874132,1.0163907,1.9698764878217767
2022,1,5,4,-1.9932365,1.1558976,2.3041465259683913
2022,1,5,5,-1.4254856,1.1183434,1.8118225859244523
2022,1,5,6,-0.9020033,1.42206,1.684002557035571
2022,1,5,7,-0.8200779,1.778513,1.9584780023731942
2022,1,5,8,-0.3364601,1.7614707,1.7933165778882372
2022,1,5,9,-0.12760162,1.9134872,1.9177370579578135
2022,1,5,10,0.39123058,1.303846,1.3612772550724428
2022,1,5,11,0.20610523,0.7991274,0.8252781155836872
2022,1,5,12,0.09949875,0.15952027,0.18800722606297335
2022,1,5,13,-0.51433945,0.2719202,0.5817952081224073
2022,1,5,14,-1.0288935,0.7807846,1.2916061228584998
2022,1,5,15,-1.072998,0.953866,1.4356828215121546
2022,1,5,16,-0.96552753,0.86687756,1.297582412288321
2022,1,5,17,-0.82243156,0.718256,1.0919181996877916
2022,1,5,18,-0.87019634,0.61639154,1.066386517404988
2022,1,5,19,-0.96803665,0.59419703,1.1358543370831258
2022,1,5,20,-1.0161905,0.5206862,1.1418219298197465
2022,1,5,21,-0.99602604,0.51224804,1.1200294301147116
2022,1,5,22,-0.8782346,0.64897543,1.0920005345888142
2022,1,5,23,-0.60504913,0.4864292,0.7763361606966805
2022,1,6,0,-0.46996498,0.44069767,0.6442682048410012
2022,1,6,1,-0.4512005,0.4661703,0.6487654712644917
2022,1,6,2,-0.6033178,0.5197525,0.7963259559960649
2022,1,6,3,-0.65217227,0.60891724,0.8922493301266048
2022,1,6,4,-0.2951271,0.61035156,0.6779594614254459
2022,1,6,5,0.26541126,0.07473469,0.2757324959059083
2022,1,6,6,0.3784777,-0.25142765,0.45438004710873836
2022,1,6,7,0.86718255,-0.39668465,0.9536059399768466
2022,1,6,8,1.7453867,-0.9667969,1.9952621378725448
2022,1,6,9,1.9507467,-1.3957329,2.39864186261916
2022,1,6,10,1.7480273,-1.62883,2.389285783148773
2022,1,6,11,1.6210562,-2.0789347,2.636245921871158
2022,1,6,12,1.2540033,-1.8736925,2.2546059242471257
2022,1,6,13,0.8343586,-1.9175272,2.091187410629873
